"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.925152283E2,6.868072333E1,2.766145833E1,1.333225708E2,8.971608281E-1,8.601000214E1,1.600000024E0,1.280000019E1
1.935152283E2,6.868072333E1,2.766147833E1,1.333225957E2,8.812044263E-1,9.319000244E1,1.600000024E0,1.200000000E1
1.945152283E2,6.868072167E1,2.766149500E1,1.333226194E2,8.940724730E-1,1.044300003E2,1.600000024E0,1.260000038E1
1.955152283E2,6.868072000E1,2.766151500E1,1.335226473E2,9.136319160E-1,1.101900024E2,1.600000024E0,1.330000019E1
1.965152283E2,6.868071500E1,2.766153667E1,1.337226829E2,9.259852767E-1,1.377400055E2,1.600000024E0,1.260000038E1
1.975152283E2,6.868071000E1,2.766155500E1,1.338227144E2,9.198086262E-1,1.400899963E2,1.600000024E0,1.310000038E1
1.985152283E2,6.868070167E1,2.766156500E1,1.341227413E2,9.043669701E-1,1.552599945E2,1.600000024E0,1.260000038E1
1.995152283E2,6.868069333E1,2.766157833E1,1.343227723E2,8.626744151E-1,1.357200012E2,1.700000048E0,1.089999962E1
2.005152283E2,6.868069500E1,2.766160167E1,1.345227986E2,8.148052692E-1,7.076999664E1,1.700000048E0,1.069999981E1
2.015152283E2,6.868070167E1,2.766161333E1,1.347228016E2,8.009077907E-1,3.865999985E1,1.600000024E0,1.069999981E1
2.025152283E2,6.868070833E1,2.766161167E1,1.347227880E2,7.818630338E-1,1.740999985E1,1.600000024E0,1.119999981E1
2.035152283E2,6.868071333E1,2.766161833E1,1.347227877E2,7.669361234E-1,1.750000000E1,1.700000048E0,1.180000019E1
2.045152283E2,6.868072000E1,2.766162000E1,1.346227783E2,7.386263609E-1,3.423999939E2,1.700000048E0,1.160000038E1
2.055152283E2,6.868072167E1,2.766161000E1,1.346227630E2,6.711977720E-1,3.536700134E2,1.600000024E0,1.119999981E1
2.065152283E2,6.868072500E1,2.766161000E1,1.345227572E2,6.032544374E-1,3.542399902E2,1.700000048E0,1.160000038E1
2.075152283E2,6.868073000E1,2.766160833E1,1.344227465E2,5.481791496E-1,3.545499878E2,1.799999952E0,1.200000000E1
2.085152283E2,6.868073833E1,2.766160333E1,1.343227259E2,5.569294691E-1,3.443200073E2,1.899999976E0,1.269999981E1
